Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
202206,27:06.2,GPS,177384851,0,6,156444200,2401,10,1.21,-35.3630007,149.1662119,636.3,6.962,41.39739,-1.192,0,1
202569,27:06.4,GPS,177584771,0,6,156444400,2401,10,1.21,-35.3629911,149.1662222,636.54,7.229001,41.43759,-1.24,0,1
202926,27:06.6,GPS,177784691,0,6,156444600,2401,10,1.21,-35.3629813,149.166233,636.8,7.47,41.48546,-1.285,0,1
203282,27:06.8,GPS,177984611,0,6,156444800,2401,10,1.21,-35.362971,149.166244,637.06,7.687,41.54521,-1.325,0,1
203641,27:07.0,GPS,178185364,0,6,156445000,2401,10,1.21,-35.3629606,149.1662554,637.32,7.877,41.61584,-1.36,0,1
203998,27:07.2,GPS,178385284,0,6,156445200,2401,10,1.21,-35.36295,149.166267,637.6,8.042001,41.69521,-1.39,0,1
204359,27:07.4,GPS,178585204,0,6,156445400,2401,10,1.21,-35.3629391,149.1662789,637.88,8.179001,41.78069,-1.415,0,1
204716,27:07.6,GPS,178785124,0,6,156445600,2401,10,1.21,-35.362928,149.1662911,638.17,8.291,41.86797,-1.435,0,1
205072,27:07.8,GPS,178985044,0,6,156445800,2401,10,1.21,-35.3629169,149.1663033,638.45,8.375,41.95291,-1.451,0,1
205430,27:08.0,GPS,179184964,0,6,156446000,2401,10,1.21,-35.3629057,149.1663157,638.75,8.429001,42.03153,-1.461,0,1
205608,27:08.1,GPS,179284924,1,1,0,0,0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
205789,27:08.2,GPS,179384884,0,6,156446200,2401,10,1.21,-35.3628944,149.1663282,639.04,8.457001,42.10217,-1.466,0,1
206150,27:08.4,GPS,179584804,0,6,156446400,2401,10,1.21,-35.3628831,149.1663407,639.33,8.472,42.16454,-1.467,0,1
206507,27:08.6,GPS,179784724,0,6,156446600,2401,10,1.21,-35.3628718,149.1663533,639.63,8.482,42.21945,-1.466,0,1
206863,27:08.8,GPS,179984644,0,6,156446800,2401,10,1.21,-35.3628605,149.1663658,639.92,8.472,42.26978,-1.463,0,1
207221,27:09.0,GPS,180185397,0,6,156447000,2401,10,1.21,-35.3628492,149.1663783,640.21,8.428,42.31438,-1.453,0,1
207577,27:09.2,GPS,180385317,0,6,156447200,2401,10,1.21,-35.3628382,149.1663907,640.5,8.343,42.35071,-1.438,0,1
207939,27:09.4,GPS,180585237,0,6,156447400,2401,10,1.21,-35.3628272,149.1664031,640.79,8.219001,42.37996,-1.415,0,1
208295,27:09.6,GPS,180785157,0,6,156447600,2401,10,1.21,-35.3628164,149.1664152,641.07,8.058001,42.40473,-1.385,0,1
208653,27:09.8,GPS,180985077,0,6,156447800,2401,10,1.21,-35.3628058,149.166427,641.34,7.861001,42.42507,-1.348,0,1
209011,27:10.0,GPS,181184997,0,6,156448000,2401,10,1.21,-35.3627955,149.1664385,641.61,7.627,42.43834,-1.304,0,1
209367,27:10.2,GPS,181384917,0,6,156448200,2401,10,1.21,-35.3627856,149.1664496,641.86,7.352,42.44593,-1.253,0,1
209729,27:10.4,GPS,181584837,0,6,156448400,2401,10,1.21,-35.3627761,149.1664604,642.11,7.039001,42.45016,-1.195,0,1
210085,27:10.6,GPS,181784757,0,6,156448600,2401,10,1.21,-35.362767,149.1664705,642.34,6.684,42.45082,-1.13,0,1
