,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
43042,55:43.6,GPS,67785375,0,6,168961600,2401,10,1.21,-35.3632621,149.16523,594.32,1.105,265.8667,-0.46,0,1
43397,55:43.8,GPS,67985295,0,6,168961800,2401,10,1.21,-35.3632623,149.1652273,594.43,1.362,265.8678,-0.5700001,0,1
43754,55:44.0,GPS,68185215,0,6,168962000,2401,10,1.21,-35.3632625,149.165224,594.56,1.65,266.213,-0.693,0,1
44110,55:44.2,GPS,68385135,0,6,168962200,2401,10,1.21,-35.3632627,149.1652199,594.7,1.983,266.6796,-0.827,0,1
44472,55:44.4,GPS,68585055,0,6,168962400,2401,10,1.21,-35.3632629,149.1652151,594.89,2.353,266.9601,-0.9710001,0,1
44828,55:44.6,GPS,68784975,0,6,168962600,2401,10,1.21,-35.3632632,149.1652096,595.1,2.726,267.007,-1.12,0,1
45183,55:44.8,GPS,68984895,0,6,168962800,2401,10,1.21,-35.3632634,149.1652032,595.33,3.073,266.9813,-1.263,0,1
45540,55:45.0,GPS,69184815,0,6,168963000,2401,10,1.21,-35.3632637,149.1651961,595.6,3.381,266.9969,-1.396,0,1
45895,55:45.2,GPS,69384735,0,6,168963200,2401,10,1.21,-35.363264,149.1651883,595.89,3.648,267.0489,-1.513,0,1
46257,55:45.4,GPS,69584655,0,6,168963400,2401,10,1.21,-35.3632644,149.16518,596.2,3.882,267.1019,-1.615,0,1
46613,55:45.6,GPS,69785408,0,6,168963600,2401,10,1.21,-35.3632647,149.1651713,596.54,4.087,267.1399,-1.702,0,1
46970,55:45.8,GPS,69985328,0,6,168963800,2401,10,1.21,-35.3632652,149.165162,596.89,4.263,267.1624,-1.776,0,1
47327,55:46.0,GPS,70185248,0,6,168964000,2401,10,1.21,-35.3632656,149.1651525,597.25,4.414,267.1766,-1.835,0,1
47681,55:46.2,GPS,70385168,0,6,168964200,2401,10,1.21,-35.3632659,149.1651427,597.62,4.538,267.1819,-1.881,0,1
48043,55:46.4,GPS,70585088,0,6,168964400,2401,10,1.21,-35.3632664,149.1651326,598,4.637,267.1778,-1.915,0,1
48374,55:46.6,GPS,70765016,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
48402,55:46.6,GPS,70785008,0,6,168964600,2401,10,1.21,-35.3632668,149.1651223,598.38,4.709,267.1754,-1.936,0,1
48757,55:46.8,GPS,70984928,0,6,168964800,2401,10,1.21,-35.3632671,149.1651119,598.77,4.752,267.1792,-1.943,0,1
49116,55:47.0,GPS,71184848,0,6,168965000,2401,10,1.21,-35.3632676,149.1651014,599.16,4.773,267.1841,-1.94,0,1
49471,55:47.2,GPS,71384768,0,6,168965200,2401,10,1.21,-35.363268,149.1650909,599.55,4.787,267.1832,-1.932,0,1
49833,55:47.4,GPS,71584688,0,6,168965400,2401,10,1.21,-35.3632685,149.1650803,599.93,4.791,267.176,-1.919,0,1
50189,55:47.6,GPS,71784608,0,6,168965600,2401,10,1.21,-35.3632688,149.1650698,600.32,4.768,267.1697,-1.896,0,1
50545,55:47.8,GPS,71985361,0,6,168965800,2401,10,1.21,-35.3632693,149.1650594,600.69,4.709,267.2212,-1.863,0,1
50902,55:48.0,GPS,72185281,0,6,168966000,2401,10,1.21,-35.3632697,149.1650491,601.06,4.611,267.5278,-1.817,0,1
51256,55:48.2,GPS,72385201,0,6,168966200,2401,10,1.21,-35.36327,149.1650391,601.42,4.48,268.3304,-1.759,0,1
51620,55:48.4,GPS,72585121,0,6,168966400,2401,10,1.21,-35.3632701,149.1650294,601.76,4.32,269.7607,-1.689,0,1
51977,55:48.6,GPS,72785041,0,6,168966600,2401,10,1.21,-35.36327,149.1650201,602.08,4.134,271.8929,-1.607,0,1
52332,55:48.8,GPS,72984961,0,6,168966800,2401,10,1.21,-35.3632696,149.1650113,602.4,3.927,274.834,-1.513,0,1
52689,55:49.0,GPS,73184881,0,6,168967000,2401,10,1.21,-35.3632688,149.1650029,602.7,3.706,278.7555,-1.407,0,1
53044,55:49.2,GPS,73384801,0,6,168967200,2401,10,1.21,-35.3632676,149.1649951,602.97,3.481,283.9056,-1.289,0,1
53406,55:49.4,GPS,73584721,0,6,168967400,2401,10,1.21,-35.3632659,149.164988,603.21,3.268,290.5558,-1.16,0,1
53763,55:49.6,GPS,73784641,0,6,168967600,2401,10,1.21,-35.3632635,149.1649817,603.43,3.098,298.8737,-1.027,0,1
54121,55:49.8,GPS,73985394,0,6,168967800,2401,10,1.21,-35.3632604,149.1649761,603.62,3.015,308.6193,-0.897,0,1
54479,55:50.0,GPS,74185314,0,6,168968000,2401,10,1.21,-35.3632567,149.1649713,603.79,3.058,318.8667,-0.78,0,1
54833,55:50.2,GPS,74385234,0,6,168968200,2401,10,1.21,-35.3632522,149.1649671,603.94,3.244,328.3701,-0.682,0,1
55196,55:50.4,GPS,74585154,0,6,168968400,2401,10,1.21,-35.3632468,149.1649637,604.07,3.558,336.2631,-0.604,0,1
55553,55:50.6,GPS,74785074,0,6,168968600,2401,10,1.21,-35.3632405,149.1649608,604.18,3.96,342.3176,-0.546,0,1
55555,55:50.6,GPS,74785074,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
55909,55:50.8,GPS,74984994,0,6,168968800,2401,10,1.21,-35.3632332,149.1649584,604.29,4.41,346.7605,-0.503,0,1
56267,55:51.0,GPS,75184914,0,6,168969000,2401,10,1.21,-35.363225,149.1649564,604.38,4.882,349.9475,-0.476,0,1
56622,55:51.2,GPS,75384834,0,6,168969200,2401,10,1.21,-35.3632159,149.1649547,604.47,5.363,352.1808,-0.461,0,1
56984,55:51.4,GPS,75584754,0,6,168969400,2401,10,1.21,-35.3632059,149.1649532,604.57,5.847,353.6834,-0.461,0,1
57340,55:51.6,GPS,75784674,0,6,168969600,2401,10,1.21,-35.363195,149.1649518,604.66,6.331,354.61,-0.473,0,1
57695,55:51.8,GPS,75984594,0,6,168969800,2401,10,1.21,-35.3631832,149.1649505,604.76,6.809,355.077,-0.498,0,1
58055,55:52.0,GPS,76185347,0,6,168970000,2401,10,1.21,-35.3631707,149.1649491,604.86,7.269001,355.2094,-0.535,0,1
58410,55:52.2,GPS,76385267,0,6,168970200,2401,10,1.21,-35.3631573,149.1649478,604.97,7.691,355.1855,-0.574,0,1
58772,55:52.4,GPS,76585187,0,6,168970400,2401,10,1.21,-35.3631431,149.1649463,605.09,8.066,355.1521,-0.609,0,1
